WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadePlayoffs,Wins,Losses,Ties,WinPct,Round1Wins,Round1Losses,Rounds1WinPct,Round2Wins,Round2Losses,Round2WinPct,Round3Wins,Round3Losses,Round3WinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,POY,POYYears,ProBowl,ProBowlYears,MVP,MVPYears,PlayoffMVP,PlayoffMVPYears,ROY,ROYYears,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD,CtA,Tar,Job
,0,1985,14,ATL,1809,5,5,0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,144,8,0,0,0,0,0,0,598,0,0,0,0,0,0,0,0,598,55,5,1,51,0,10,0,40,14,0,0,0,3,1,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,0,10,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,4.2,0,0,6.9,0,0,0,4.8,24.1,28.8,119.6,17.4,1.6,11,12.5,0,36,0,0,5,1,25,0,0,0,0,0,1,0,12,
,0,1985,17,WAS,1810,5,5,0,,0,2,3,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,62,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,
,0,1985,4,OAK,1811,5,5,0,,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,2,0,0,,0,0,26,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,
,0,1985,3,HOU,1812,5,2,0,,0,3,2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,215,29,11,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,158,79,3,1,40,0,25,0,0,0,0,0,0,0,0,0,14,0,2,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,,0,,0,,5.4,0,0,7.2,0,0,0,0,0,5.8,31.6,20.7,2.2,15.8,18.2,0,24,0,0,2,0,6,0,0,0,1,0,2,0,19,
,0,1985,11,CHI,1813,5,5,0,,0,1,4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,353,2,0,160,102,7,1030,0,0,1026,0,4,72.1,32,6.4,10.1,4.2,206,-4,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,7,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,,0,,0,,-2,6.4,63.7,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,8,1,47,0,0,0,0,0,
,0,1985,17,WAS,1814,5,5,0,,0,2,3,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,340,138,11,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,563,72,1,0,80,0,25,0,0,0,0,0,0,4,1,0,5,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,0,,0,,0,,0,,4.1,0,0,6.5,0,0,0,0,0,27.6,112.6,16.7,2.2,14.4,18.2,0,6,0,0,5,2,23,0,0,0,1,0,2,0,18,
,0,1985,18,CLM,1815,5,5,0,,0,2,3,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,326,3,0,124,83,6,1008,0,0,1002,0,9,95.8,24.8,8.1,12.1,3.1,201.6,-6,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,-2,8.1,66.9,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,7,2,39,0,0,0,0,0,
,0,1985,7,CIN,1816,5,5,0,,0,4,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,310,1,0,157,115,2,994,0,0,992,0,8,101.2,31.4,6.3,8.6,3.7,198.8,-2,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,,0,,0,,-2,6.3,73.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,54,0,0,0,0,0,
,0,1985,6,WIN,1817,5,5,0,,0,2,3,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,,0,0,52,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,
,0,1985,5,BUF,1818,5,5,0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,,0,0,24,4,10,3,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
