PlayerID,Leadership,Work Ethic,Competitiveness,Team Player,Sportsmanship,Social Disposition,Money,Security,Loyalty,Winning,Playing Time,Close To Home,Market Size,Morale
1809,76,69,81,73,62,89,79,49,40,34,74,47,45,100
1810,27,64,78,21,60,83,70,41,46,56,100,46,63,100
1811,100,37,67,62,63,43,83,39,38,66,90,36,62,100
1812,31,60,75,33,82,70,77,36,49,35,95,38,53,100
1813,48,40,39,67,54,70,72,44,47,55,79,41,41,74
1814,96,58,60,77,69,31,92,50,33,32,76,33,35,90
1815,40,60,68,67,90,99,75,30,37,69,94,49,60,79
1816,94,70,64,89,52,36,78,47,43,67,100,44,54,100
1817,36,64,71,5,83,98,90,35,48,54,71,33,62,59
1818,66,78,63,75,63,65,80,41,37,30,86,33,46,99
1819,31,50,41,48,45,53,93,45,33,38,82,36,53,34
1820,63,47,66,98,46,59,71,41,43,54,72,43,34,45
1821,76,62,85,71,66,86,80,39,48,54,80,49,32,69
1822,69,72,88,69,93,77,95,37,44,34,71,47,69,57
1823,68,50,56,61,32,36,83,42,37,66,91,44,62,100
1824,44,66,87,60,95,61,71,32,44,50,71,50,31,100
1825,70,74,94,63,92,78,93,37,33,69,96,45,60,44
1826,61,52,66,60,64,44,83,37,36,61,92,41,69,58
1827,14,78,81,24,78,63,82,35,49,58,96,46,44,62
1828,19,99,100,3,78,75,94,35,50,41,72,50,31,90
1829,6,93,95,30,95,86,79,34,38,57,77,37,64,100
1830,62,37,62,63,44,63,81,47,45,45,95,46,35,93
1831,16,65,58,27,11,26,70,31,30,67,97,42,55,77
1832,79,46,67,82,37,36,99,38,41,38,84,32,37,100
1833,30,98,95,47,92,85,79,46,43,40,82,44,66,100
1834,41,71,90,65,95,84,76,48,41,33,75,48,39,91
1835,90,57,56,85,58,64,74,45,33,63,81,48,33,72
1836,61,55,57,34,64,58,83,30,33,48,85,41,50,100
1837,69,67,55,70,41,36,85,33,45,31,89,35,39,88
1838,6,92,94,14,72,87,96,41,46,40,97,30,62,51
1839,87,85,85,87,90,91,83,43,40,64,96,35,38,100
1840,82,60,100,78,93,62,81,34,32,59,91,32,50,63
1841,56,68,74,45,73,94,83,45,47,38,87,45,59,29
1842,82,57,32,69,46,47,97,35,40,47,89,42,42,100
1843,68,53,44,38,46,37,87,33,39,42,88,30,70,100
1844,50,90,63,48,66,97,78,32,40,62,94,39,39,100
1845,43,66,69,54,61,85,70,48,31,34,77,40,49,100
1846,42,96,63,37,87,96,93,49,40,30,96,41,58,47
1847,68,64,45,40,69,69,78,35,44,36,83,33,46,100
1848,59,79,73,61,74,78,81,45,43,59,78,40,36,100
1849,54,49,53,36,45,58,80,33,49,63,99,50,42,44
1850,41,64,65,43,64,93,74,40,43,34,81,36,36,100
1851,99,41,53,100,69,61,82,42,42,48,74,41,39,88
1852,44,56,60,30,38,69,79,48,33,56,97,47,70,85
1853,48,93,90,65,73,77,71,31,40,70,100,40,49,96
1854,76,71,97,98,73,80,96,30,36,50,71,34,49,91
1855,54,69,45,47,56,61,81,37,33,31,90,36,67,42
1856,34,43,36,33,42,34,88,32,40,53,94,37,65,64
1857,91,69,76,81,78,71,74,33,47,48,92,49,41,89
1858,83,62,69,79,34,52,81,40,47,59,79,30,70,88
1859,7,76,91,18,81,84,99,44,38,64,90,42,44,100
1860,4,56,65,37,20,14,95,50,35,62,70,46,33,63
1861,38,70,96,32,66,72,85,44,50,49,86,48,66,25
1862,35,74,71,47,81,63,89,33,35,55,72,38,45,100
1863,43,40,67,32,41,37,77,34,50,34,74,30,61,100
1864,56,89,76,30,68,66,79,50,31,63,77,35,51,99
1865,64,64,45,54,40,36,100,30,47,55,93,31,37,35
1866,99,78,100,88,94,64,91,38,47,54,89,30,35,1
1867,61,95,73,49,91,89,99,45,33,37,83,39,56,52
1868,43,38,68,48,67,44,84,47,40,58,73,40,39,58
1869,65,89,74,49,94,90,92,45,45,35,100,46,49,97
1870,61,64,55,31,58,69,85,49,35,30,82,38,31,100
1871,68,34,55,65,41,57,72,48,49,45,74,44,39,38
1872,64,60,54,69,45,68,80,41,39,35,76,34,35,43
1873,77,37,66,88,47,33,91,44,41,64,100,40,57,9
1874,35,39,53,53,56,36,87,39,39,51,87,30,66,50
1875,15,85,72,28,90,75,73,42,50,61,70,43,48,97
1876,59,94,96,48,73,70,91,34,42,42,99,31,39,66
1877,25,89,75,9,79,87,83,42,48,42,85,38,66,24
1878,59,60,59,34,37,47,97,32,32,64,71,46,44,44
1879,12,49,62,4,31,31,94,41,41,37,79,38,51,86
1880,58,87,83,48,99,64,74,45,50,46,88,45,70,40
1881,53,61,34,58,41,41,90,46,40,39,87,42,70,78
1882,68,94,74,63,74,98,81,37,34,33,97,36,60,13
1883,80,76,66,78,99,93,72,47,35,37,76,49,48,71
1884,51,63,44,63,39,61,74,45,42,59,90,50,39,71
1885,42,43,63,49,50,58,92,47,38,47,71,46,34,7
1886,71,46,70,72,38,63,84,45,43,35,76,31,46,52
1887,68,60,84,67,61,60,95,36,48,39,90,37,47,87
1888,42,95,93,57,66,83,78,44,33,52,82,46,59,53
