RecordType,RecordID,Week,Season,PlayerID,TeamID,VsTeamID,RecordValue
0,0,11,1989,8550,1,4,52
0,1,17,1989,5614,1,9,31
0,2,11,1985,1906,1,6,86.4
0,3,1,1990,5614,1,6,4
0,4,1,1987,5614,1,18,437
0,5,6,1985,1906,1,2,5
0,6,16,1985,1906,1,2,153.3
0,7,6,1985,1906,1,2,84
0,8,13,1985,1824,1,4,31
0,9,5,1987,1824,1,4,174
0,10,7,1985,1824,1,16,3
0,11,7,1989,1824,1,17,66
0,12,17,1989,5702,1,9,14
0,13,1,1987,1928,1,18,180
0,14,6,1985,1928,1,2,3
0,15,6,1985,1928,1,2,84
0,16,18,1988,6165,1,12,6
0,17,18,1988,6165,1,12,4
0,18,1,1987,2340,1,18,2
0,19,12,1987,1921,1,19,57
0,20,3,1989,7226,1,18,20
0,21,7,1985,1875,1,16,3
0,22,2,1986,3419,1,4,2
0,23,2,1989,5614,1,2,3
0,24,15,1987,1848,1,6,20
0,25,9,1986,1875,1,8,1
0,26,4,1988,1824,1,4,56
0,27,0,0,0,0,0,0
0,28,4,1988,1824,1,4,32
0,29,5,1985,1921,1,14,150
0,30,0,0,0,0,0,0
0,31,15,1986,1824,1,14,54
0,32,4,1986,2275,1,18,4
0,33,4,1985,2275,1,12,3
0,34,10,1985,2275,1,8,55
0,35,7,1985,2275,1,16,7
0,36,7,1985,2275,1,16,7
0,37,1,1985,2275,1,3,100
0,38,1,1985,2275,1,3,100
0,39,1,1989,2485,1,20,54.2
0,40,16,1987,2485,1,5,506
0,41,8,1989,2485,1,7,69
0,42,16,1988,5683,1,5,7
0,43,1,1987,1828,1,18,15
0,44,4,1989,5630,1,10,4
1,0,0,1987,5614,1,0,525
1,1,0,1986,1906,1,0,337
1,2,0,1985,1906,1,0,67.6
1,3,0,1985,1906,1,0,12
1,4,0,1987,5614,1,0,3646
1,5,0,1985,1906,1,0,35
1,6,0,1985,1906,1,0,107.2
1,7,0,1985,1906,1,0,84
1,8,0,1985,1824,1,0,364
1,9,0,1985,1824,1,0,1695
1,10,0,1985,1824,1,0,17
1,11,0,1989,1824,1,0,66
1,12,0,1989,5702,1,0,109
1,13,0,1989,5702,1,0,1393
1,14,0,1985,1928,1,0,15
1,15,0,1985,1928,1,0,84
1,16,0,1988,5614,1,0,9
1,17,0,1988,6165,1,0,6
1,18,0,1987,2340,1,0,4
1,19,0,1987,1921,1,0,100
1,20,0,1988,7226,1,0,182
1,21,0,1985,1875,1,0,13
1,22,0,1985,1848,1,0,5
1,23,0,1988,5614,1,0,5
1,24,0,1987,1848,1,0,21
1,25,0,1987,2340,1,0,2
1,26,0,1986,1824,1,0,206
1,27,0,0,0,0,0,0
1,28,0,1988,1824,1,0,32
1,29,0,1985,1921,1,0,922
1,30,0,0,0,0,0,0
1,31,0,1986,1824,1,0,54
1,32,0,1987,5366,1,0,37
1,33,0,1985,2275,1,0,22
1,34,0,1985,2275,1,0,55
1,35,0,1985,2275,1,0,56
1,36,0,1985,2275,1,0,53
1,37,0,1985,2275,1,0,88
1,38,0,1986,2275,1,0,100
1,39,0,1989,2485,1,0,46.5
1,40,0,1989,2485,1,0,3951
1,41,0,1989,2485,1,0,69
1,42,0,1988,1848,1,0,25
1,43,0,1988,5653,1,0,107
1,44,0,1988,1949,1,0,11
2,0,0,1985,2420,1,9,41
2,1,0,1985,2420,1,9,23
2,2,0,1985,2420,1,9,56.1
2,3,0,1985,2420,1,9,2
2,4,0,1985,2420,1,9,178
2,5,0,0,0,0,0,0
2,6,0,1985,2420,1,9,46.6
2,7,0,1985,2420,1,9,19
2,8,0,1985,1824,1,9,17
2,9,0,1985,1824,1,9,68
2,10,0,0,0,0,0,0
2,11,0,1985,1824,1,9,45
2,12,0,1985,1928,1,9,7
2,13,0,1985,1928,1,9,60
2,14,0,0,0,0,0,0
2,15,0,1985,2432,1,9,19
2,16,0,1985,1998,1,9,1
2,17,0,1985,1998,1,9,1
2,18,0,1985,2336,1,9,1
2,19,0,1985,2336,1,9,11
2,20,0,1985,1985,1,9,8
2,21,0,1985,1848,1,9,1
2,22,0,0,0,0,0,0
2,23,0,0,0,0,0,0
2,24,0,0,0,0,0,0
2,25,0,0,0,0,0,0
2,26,0,1985,1824,1,9,25
2,27,0,0,0,0,0,0
2,28,0,1985,1824,1,9,16
2,29,0,1985,1824,1,9,71
2,30,0,0,0,0,0,0
2,31,0,1985,1824,1,9,36
2,32,0,1985,2275,1,9,3
2,33,0,1985,2275,1,9,2
2,34,0,1985,2275,1,9,49
2,35,0,0,0,0,0,0
2,36,0,0,0,0,0,0
2,37,0,1985,2275,1,9,66.7
2,38,0,0,0,0,0,0
2,39,0,1985,2485,1,9,44
2,40,0,1985,2485,1,9,132
2,41,0,1985,2485,1,9,52
2,42,0,1985,2017,1,9,3
2,43,0,1985,1828,1,9,6
2,44,0,1985,2175,1,9,1
3,0,0,1989,5614,1,0,1191
3,1,0,1989,5614,1,0,751
3,2,0,1985,1906,1,0,67.6
3,3,0,1986,1906,1,0,21
3,4,0,1989,5614,1,0,8132
3,5,0,1986,1906,1,0,62
3,6,0,1985,1906,1,0,107.2
3,7,0,1985,1906,1,0,84
3,8,0,1989,1824,1,0,1410
3,9,0,1989,1824,1,0,6980
3,10,0,1989,1824,1,0,52
3,11,0,1989,1824,1,0,66
3,12,0,1989,1824,1,0,245
3,13,0,1987,1928,1,0,3257
3,14,0,1987,1928,1,0,33
3,15,0,1985,1928,1,0,84
3,16,0,1989,5614,1,0,25
3,17,0,1989,5614,1,0,10
3,18,0,1988,1921,1,0,7
3,19,0,1988,1921,1,0,214
3,20,0,1989,1848,1,0,650
3,21,0,1988,1875,1,0,26
3,22,0,1989,1848,1,0,16
3,23,0,1989,5614,1,0,12
3,24,0,1988,1848,1,0,29
3,25,0,1987,2340,1,0,2
3,26,0,1988,1824,1,0,515
3,27,0,0,0,0,0,0
3,28,0,1988,1824,1,0,32
3,29,0,1987,1928,1,0,1726
3,30,0,0,0,0,0,0
3,31,0,1986,1824,1,0,54
3,32,0,1988,5366,1,0,58
3,33,0,1986,2275,1,0,40
3,34,0,1985,2275,1,0,55
3,35,0,1986,2275,1,0,97
3,36,0,1986,2275,1,0,94
3,37,0,1985,2275,1,0,88
3,38,0,1986,2275,1,0,96.9
3,39,0,1989,2485,1,0,44.3
3,40,0,1989,2485,1,0,14987
3,41,0,1989,2485,1,0,69
3,42,0,1989,1848,1,0,85
3,43,0,1989,5653,1,0,211
3,44,0,1988,1949,1,0,26
0,0,6,1989,1964,4,7,53
0,1,6,1989,1964,4,7,31
0,2,8,1986,1964,4,3,88.2
0,3,13,1987,1964,4,5,3
0,4,16,1985,1964,4,3,376
0,5,10,1985,1964,4,3,4
0,6,1,1986,1964,4,17,158.3
0,7,15,1987,1964,4,19,81
0,8,15,1985,1946,4,5,34
0,9,6,1988,7281,4,5,178
0,10,8,1985,2026,4,15,4
0,11,12,1987,1879,4,18,95
0,12,17,1989,1928,4,2,8
0,13,7,1985,2153,4,18,150
0,14,1,1986,2282,4,17,3
0,15,15,1987,2282,4,19,81
0,16,12,1989,1964,4,5,3
0,17,3,1985,1879,4,1,2
0,18,16,1985,1892,4,3,2
0,19,8,1988,1862,4,19,83
0,20,3,1987,2543,4,5,15
0,21,1,1985,1918,4,16,2
0,22,3,1987,2543,4,5,3
0,23,2,1986,1879,4,1,2
0,24,15,1985,2092,4,5,23
0,25,4,1985,1862,4,6,1
0,26,11,1989,2282,4,1,79
0,27,0,0,0,0,0,0
0,28,1,1989,1862,4,15,65
0,29,1,1987,1862,4,12,209
0,30,1,1987,1862,4,12,1
0,31,14,1989,2282,4,9,108
0,32,6,1985,2406,4,7,5
0,33,6,1985,2406,4,7,5
0,34,6,1987,3513,4,14,55
0,35,15,1987,3513,4,19,7
0,36,19,1988,3513,4,1,7
0,37,1,1985,2406,4,16,100
0,38,1,1985,2406,4,16,100
0,39,18,1988,6246,4,13,56
0,40,6,1989,6246,4,7,613
0,41,16,1988,6246,4,12,60
0,42,12,1987,1954,4,18,8
0,43,15,1988,5636,4,9,12
0,44,1,1987,2450,4,12,3
1,0,0,1989,1964,4,0,497
1,1,0,1989,1964,4,0,305
1,2,0,1988,1964,4,0,67.5
1,3,0,1989,1964,4,0,15
1,4,0,1989,1964,4,0,3307
1,5,0,1985,1964,4,0,28
1,6,0,1988,1964,4,0,131.5
1,7,0,1987,1964,4,0,81
1,8,0,1989,7281,4,0,324
1,9,0,1989,7281,4,0,1651
1,10,0,1987,1879,4,0,13
1,11,0,1987,1879,4,0,95
