PlayerID,ImportID,Overall,Season,RookieYear,FirstName,LastName,Team,DraftRound,DraftPick,DraftSeason,College,Number,DOB,Experience,Age,Height,Weight,Position,Salary,ContractYears,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,SigningBonus1,SigningBonus2,SigningBonus3,SigningBonus4,SigningBonus5,SigningBonus6,SigningBonus7,PlayerFlags,PlayerTraits,CollegiateCareer,CollegiateSeasonsJson,CollegiateAwardsJson,SelectedFaceset,SelectedFace,SelectedClothes,SelectedHairstyle,Attr_Str,Attr_Agi,Attr_Arm,Attr_Spe,Attr_Han,Attr_Intel,Attr_Acc,Attr_PBl,Attr_RBl,Attr_Tck,Attr_KDi,Attr_KAc,Attr_End,Attr_Pot,Skill_QB,Skill_RB,Skill_FB,Skill_WR,Skill_TE,Skill_G,Skill_T,Skill_C,Skill_P,Skill_K,Skill_DT,Skill_DE,Skill_LB,Skill_CB,Skill_SS,Skill_FS,Per_Lea,Per_Wor,Per_Com,Per_TmPl,Per_Spor,Per_Soc,Per_Mny,Per_Pres,Per_Sec,Per_Loy,Per_Win,Per_PT,Per_Home,Per_Mkt,Per_Mor
1987,,67,1991,1985,Ken,Anderson,0,15,14,1985,Augustana (IL),14,,3,39,74,212,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,FanFavorite,,,,b,0030.png,,darkbrown_3025.png,26,42,76,37,15,79,58,1,1,23,1,1,77,0,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,84,97,45,68,99,74,0,46,47,42,73,38,53,72
9617,,67,1991,0,Kent,Austin,0,0,0,0,Mississippi,13,,1,24,73,195,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,,,,,b,0018.png,,black_3035.png,45,47,69,44,11,66,66,1,1,5,1,1,72,0,56,1,1,1,1,1,1,1,30,30,1,1,1,1,1,1,93,50,43,84,61,50,94,0,32,37,45,99,41,36,78
1927,,77,1991,1985,Steve,Bartkowski,0,10,9,1985,California,10,,6,39,76,216,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,RoleModel,,,,b,0080.png,default-jersey-01.png,black_3015.png,21,38,73,42,15,72,86,1,1,15,1,1,81,0,89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,71,85,86,55,99,100,96,0,39,32,67,100,42,31,16
5412,,81,1991,0,Brett,Basanez,9,0,0,0,Northwestern,19,,5,27,74,215,QB,250000,2,250000,250000,0,0,0,0,0,0,0,0,0,0,0,0,None,,,,,b,0073.png,default-jersey-01.png,bald_3016.png,51,52,86,49,11,66,86,1,1,18,1,1,77,0,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,76,83,39,94,71,78,0,38,41,31,70,34,62,100
9608,,77,1991,0,Charlie,Batch,10,0,0,0,Eastern Michigan,8,,1,25,74,220,QB,250000,1,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,None,,,,,a,10557.png,default-jersey-01.png,lightbrown_3005.png,38,55,85,52,20,75,74,1,1,9,1,1,74,0,64,1,1,1,1,1,1,1,27,26,1,1,1,1,1,1,85,80,66,83,65,95,81,0,42,36,65,81,41,43,99
3393,,75,1991,1986,Kerwin,Bell,0,5,11,1986,Florida,1,,2,33,75,207,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,FanFavorite,,,,a,10585.png,,lightbrown_3094.png,34,56,69,56,10,71,74,1,1,16,1,1,73,0,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,64,30,29,35,19,86,0,37,33,47,90,34,64,31
12714,2419,75,1991,0,Jeff,Blake,0,0,0,0,East Carolina,0,,0,22,73,223,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,,,,,,,,,46,50,80,48,4,78,67,1,1,23,1,1,75,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,64,56,65,68,31,72,0,33,34,57,74,48,43,86
9606,,78,1991,0,Bubby,Brister,7,0,0,0,La-Monroe,9,,1,25,75,205,QB,250000,1,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,None,,,,,a,10561.png,default-jersey-01.png,red_3014.png,46,64,80,62,13,78,72,1,1,15,1,1,69,0,69,1,1,1,1,1,1,1,26,27,1,1,1,1,1,1,84,72,90,84,84,60,83,0,32,37,38,90,40,33,88
3543,,69,1991,1986,Jeff,Brohm,0,6,4,1986,Louisville,11,,4,29,73,205,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,,,,,a,0117.png,,darkbrown_3054.png,29,38,62,45,5,68,72,1,1,1,1,1,68,0,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93,85,64,94,80,72,77,0,48,31,68,81,44,63,100
12817,3402,63,1991,0,Dave,Brown,0,0,0,0,Duke,0,,0,22,77,230,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,,,,,,,,,50,54,64,43,9,56,58,1,1,14,1,1,73,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,49,61,52,31,68,97,0,35,49,67,86,39,56,76
12391,,84,1991,1991,Mark,Brunell,2,1,16,1991,Washington,15,,0,24,73,217,QB,1750000,4,1750000,1750000,1750000,1750000,0,0,0,0,0,0,0,0,0,0,None,GameManager,,,,b,0070.png,default-jersey-01.png,black_3096.png,57,70,85,66,29,84,80,1,1,17,1,1,79,0,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,60,31,46,47,51,73,0,33,32,66,78,44,44,89
5633,,90,1991,1987,Jason,Campbell,20,3,3,1987,Auburn,8,,4,29,77,223,QB,7500000,1,7500000,0,0,0,0,0,0,0,0,0,0,0,0,0,None,,,,,b,0090.png,,black_3082.png,56,76,92,63,25,74,92,1,1,28,1,1,88,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,80,88,45,88,99,74,0,46,42,40,89,36,37,97
5717,,86,1991,1987,Jack,Coan,1,4,20,1987,Notre Dame,17,,4,27,75,220,QB,5200000,2,5200000,5200000,0,0,0,0,0,0,0,0,0,0,0,0,None,GameManager,,,,b,0088.png,,black_3018.png,52,76,89,73,18,77,81,1,1,19,1,1,73,0,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,75,75,81,62,84,65,80,0,43,40,59,77,36,57,25
12834,5808,75,1991,0,Cary,Conklin,0,0,0,0,Washington,0,,0,24,76,220,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,,,,,,,,,36,58,73,52,1,71,70,1,1,16,1,1,72,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,96,81,6,68,90,77,0,47,50,66,99,42,69,77
8538,,88,1991,1989,Jimmy,Conzelman,17,2,11,1989,Washington (MO),1,,2,22,72,175,QB,1150000,1,1150000,0,0,0,0,0,0,0,0,0,0,0,0,0,None,ConsummatePro,,,,a,0142.png,,darkbrown_3025.png,60,68,82,73,60,84,85,40,40,55,65,80,93,0,93,52,41,1,1,1,1,1,1,46,1,1,52,1,1,1,95,92,85,85,75,55,72,0,50,34,32,95,32,32,-1
8539,,79,1991,1989,Matt,Corral,0,6,20,1989,N/A,0,,2,25,73,205,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RunningQB,Dualthreat|DevelopingStar,,,,a,10572.png,,lightbrown_3099.png,52,75,80,71,28,64,77,17,14,29,12,6,79,0,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,68,78,98,78,75,77,98,0,48,35,48,86,45,53,87
7166,,81,1991,1988,Eric,Crouch,8,3,10,1988,Nebraska,7,,3,26,72,210,QB,250000,3,250000,250000,300000,0,0,0,0,0,0,0,0,0,0,0,RunningQB,Dualthreat,,,,b,0028.png,default-jersey-01.png,darkbrown_3020.png,61,76,77,75,70,79,74,35,34,3,1,1,75,0,74,26,1,39,1,1,1,1,1,1,1,1,1,1,1,1,75,47,48,65,30,63,85,0,42,32,56,84,37,49,31
1851,,88,1991,1985,Randall,Cunningham,8,1,8,1985,UNLV,12,,6,28,76,212,QB,6000000,5,6000000,6000000,6000000,6000000,6000000,0,0,0,0,0,0,0,0,0,RunningQB,Dualthreat|Legend,,,,b,10098.png,,bald_3031.png,62,86,86,72,23,75,83,1,1,14,1,1,89,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98,42,55,100,69,61,82,0,42,42,48,74,41,39,98
5669,,95,1991,1987,Jay,Cutler,6,1,7,1987,Vanderbilt,5,,4,27,75,225,QB,12050000,6,12050000,12500000,12500000,12500000,12500000,12600000,0,0,0,0,0,0,0,0,None,Diva,,,,b,0082.png,,black_3054.png,49,79,95,63,19,91,90,1,8,24,6,1,93,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,67,71,63,52,87,72,74,0,44,49,32,71,35,69,78
