WeekNumber,GameID,Season,TeamID,Team,PlayerID,G,GS,Championships,ChampionshipYears,MadePlayoffs,Wins,Losses,Ties,WinPct,Round1Wins,Round1Losses,Rounds1WinPct,Round2Wins,Round2Losses,Round2WinPct,Round3Wins,Round3Losses,Round3WinPct,ChampionshipWins,ChampionshipLosses,ChampionshipWinPct,ELORating,Plays,RushAtt,Catches,PassAtt,PassCmp,PassInt,PassYds,PassYdsAgainst,TotalYdsAgainst,TotalYds,RushYdsAgainst,PassTD,PassRating,PassingAttemptsPerGame,PassingYardsPerAttempt,PassingYardsPerCompletion,SackPct,PassingYdsPerGame,RushYds,RecYds,RushTD,RecTD,RunLong,PassLong,RecLong,PuntLong,KRLong,PRLong,FGLong,Int,IntReturnYds,Fumbles,FumblesLost,FumReturnYds,Pancakes,MissedTackles,DroppedPasses,PassesDefensed,SacksAllowed,MissedBlocks,TeamOwner,Conference,WasSacked,SackedYards,Tackles,TFL,Sacks,Hurries,Knockdowns,Safeties,ForcedFumbles,FumblesRecovered,DefensiveTD,BlockedFG,BlockedPAT,BlockedPunt,Penalties,PenaltyYds,Punts,PuntYds,PuntsInside20,PuntReturns,PuntReturnYds,PuntReturnTD,KickoffReturns,KickoffReturnYds,KickoffReturnTD,FGA_U20,FGA_2029,FGA_3039,FGA_4049,FGA_50,FGM_U20,FGM_2029,FGM_3039,FGM_4049,FGM_50,FGA,FGM,XPA,XPM,POG,POW,POY,POYYears,ProBowl,ProBowlYears,MVP,MVPYears,PlayoffMVP,PlayoffMVPYears,ROY,ROYYears,RushAvg,PassAvg,PassPct,RecAvg,FGPct,XPPct,PuntAvg,PuntReturnAvg,KickReturnAvg,RushingAttPerGame,RushingYdsPerGame,RushFDPct,CatchesPerGame,ReceivingYdsPerGame,RecFDPct,KickingPoints,Points,PointsFor,PointsAgainst,Rush20,Rush40,RushFD,Pass20,Pass40,PassFD,Rec20,Rec40,RecFD,CtA,Tar,DTar,Job
,0,0,16,TB,507,57,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,1195,1759,1195,33,13533,12305,20733,21100,8428,107,103.2,30.9,7.7,11.3,7.5,237.4,7567,13533,51,107,68,89,89,67,95,68,55,31,439,62,33,120,1558,386,71,282,79,458,,,143,1045,2782,253,100,360,110,1,55,60,3,0,0,2,382,3035,305,13643,106,102,695,1,286,6246,1,4,21,25,37,15,4,19,20,29,10,102,82,152,146,52,0,0,,0,,0,,0,,0,,4.3,7.7,67.9,11.3,80.4,96.1,44.7,6.8,21.8,30.6,132.8,19.3,21,237.4,40.5,392,1370,1386,1491,48,14,338,147,36,484,147,36,484,1343,3027,851,
,0,0,10,IND,2248,57,0,1,1989,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804,936,1583,936,60,11258,12293,19086,19282,6793,89,83.9,27.8,7.1,12,4.6,197.5,8024,11258,65,89,76,65,65,71,103,64,55,26,431,17,11,82,1668,234,59,203,35,307,,,77,525,2645,271,251,243,195,5,57,34,3,0,0,0,302,2600,266,12770,110,121,1090,0,229,5061,2,7,21,39,33,12,7,19,38,24,9,112,97,154,152,74,0,0,,0,,0,,0,,0,,4.4,7.1,59.1,12,86.6,98.7,48,9,22.1,31.6,140.8,20.6,16.4,197.5,45.5,443,1397,1417,1275,53,10,372,137,28,426,137,28,426,1265,2602,801,
,0,0,2,MIA,3535,57,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,1276,1881,1276,36,14856,11673,19268,20660,7595,113,103.6,33,7.9,11.6,6.3,260.6,5804,14856,56,113,75,77,77,68,98,19,52,30,471,37,16,76,1587,340,54,242,44,376,,,127,1037,2688,266,126,266,144,1,46,43,5,0,0,1,370,2956,249,11382,98,84,454,0,240,5028,1,6,19,26,35,14,5,14,18,23,6,100,66,166,164,56,0,0,,0,,0,,0,,0,,4.1,7.9,67.8,11.6,66,98.8,45.7,5.4,21,25,101.8,17.7,22.4,260.6,43.7,362,1412,1426,1291,40,9,253,185,43,558,185,43,558,1326,3073,844,
,0,0,7,CIN,3841,57,0,1,1988,2,30,27,0,0.526,0,0,0,1,1,0.5,1,0,1,1,0,1,0,0,1406,1219,2035,1219,41,13634,10918,19625,18811,8707,92,86.6,35.7,6.7,11.2,6.4,239.2,5177,13634,42,92,57,83,83,69,108,75,53,35,632,63,28,53,1588,341,113,277,70,548,,,139,997,2693,242,101,365,132,1,46,59,6,0,0,2,346,2852,314,14020,99,96,713,0,282,6562,4,6,29,24,29,10,6,26,19,22,4,98,77,139,135,46,0,0,,0,,0,,0,,0,,3.7,6.7,59.9,11.2,78.6,97.1,44.6,7.4,23.3,24.7,90.8,18.3,21.4,239.2,44,366,1230,1236,1368,37,6,257,149,34,536,149,34,536,1306,3345,808,
,0,0,17,CHC,4394,57,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538,1189,1871,1189,33,11885,12728,21311,17638,8583,69,86.5,32.8,6.4,10,8.2,208.5,5753,11885,47,69,65,83,83,64,97,67,57,38,712,41,19,51,1414,331,75,245,95,476,,,167,1270,2599,229,120,323,109,0,33,35,4,0,0,1,387,3164,289,13007,107,93,686,0,311,6927,1,3,26,31,29,11,3,24,30,23,9,100,89,117,115,39,0,0,,0,,0,,0,,0,,3.7,6.4,63.5,10,89,98.3,45,7.4,22.3,27,100.9,18.1,20.9,208.5,41,382,1108,1110,1704,34,9,278,109,19,487,109,19,487,1253,3095,757,
,0,0,4,OAK,8917,57,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,756,1368,756,37,10168,12256,20895,20081,8639,85,88.5,24,7.4,13.4,11.9,178.4,9913,10168,70,85,76,77,77,62,108,72,55,42,707,55,25,41,1969,340,94,252,116,408,,,184,1341,3044,282,103,359,131,0,45,48,12,0,0,2,400,3336,322,14040,104,85,794,0,299,7100,2,7,18,35,27,10,6,18,24,19,8,97,75,166,164,42,0,0,,0,,0,,0,,0,,4.9,7.4,55.3,13.4,77.3,98.8,43.6,9.3,23.7,35.2,173.9,21.4,13.3,178.4,48.4,389,1403,1409,1526,71,17,430,147,28,366,147,28,366,1515,2715,956,
,0,0,14,ATL,9559,57,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751,935,1458,935,26,12986,14354,21682,20217,7328,103,108.8,25.6,8.9,13.9,11.5,227.8,7231,12986,56,103,75,68,68,67,92,77,55,42,530,50,23,150,1696,314,55,236,101,364,,,190,1517,2626,314,101,331,108,4,52,56,3,0,0,0,315,2489,280,13106,118,92,899,1,275,6499,0,2,22,39,34,17,2,19,35,22,9,114,87,160,158,51,0,0,,0,,0,,0,,0,,4.1,8.9,64.1,13.9,76.3,98.8,46.8,9.8,23.6,30.7,126.9,18.6,16.4,227.8,46.3,419,1397,1409,1499,46,13,325,190,54,433,190,54,433,1422,2679,851,
,0,0,19,WAS,11355,57,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,914,1539,914,47,9665,13458,22241,18671,8783,72,80.6,27,6.3,10.6,5.9,169.6,9006,9665,63,72,86,66,66,69,43,71,52,26,482,52,25,160,1508,331,79,183,47,455,,,97,630,2778,286,82,256,105,2,66,63,6,1,0,1,384,2996,263,12062,101,93,762,1,294,7024,0,6,18,29,40,12,6,12,21,28,4,105,71,139,137,49,0,0,,0,,0,,0,,0,,4.6,6.3,59.4,10.6,67.6,98.6,45.9,8.2,23.9,34.6,158,21.7,16,169.6,44.2,350,1202,1210,1713,51,16,429,97,17,404,97,17,404,1380,2655,839,
,0,0,2,MIA,18749,57,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,1276,1881,1276,36,14856,11673,19268,20660,7595,113,103.6,33,7.9,11.6,6.3,260.6,5804,14856,56,113,75,77,77,68,98,19,52,30,471,37,16,76,1587,340,54,242,44,376,,,127,1037,2688,266,126,266,144,1,46,43,5,0,0,1,370,2956,249,11382,98,84,454,0,240,5028,1,6,19,26,35,14,5,14,18,23,6,100,66,166,164,56,0,0,,0,,0,,0,,0,,4.1,7.9,67.8,11.6,66,98.8,45.7,5.4,21,25,101.8,17.7,22.4,260.6,43.7,362,1412,1426,1291,40,9,253,185,43,558,185,43,558,1326,3073,844,
,0,0,16,TB,21668,57,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,1195,1759,1195,33,13533,12305,20733,21100,8428,107,103.2,30.9,7.7,11.3,7.5,237.4,7567,13533,51,107,68,89,89,67,95,68,55,31,439,62,33,120,1558,386,71,282,79,458,,,143,1045,2782,253,100,360,110,1,55,60,3,0,0,2,382,3035,305,13643,106,102,695,1,286,6246,1,4,21,25,37,15,4,19,20,29,10,102,82,152,146,52,0,0,,0,,0,,0,,0,,4.3,7.7,67.9,11.3,80.4,96.1,44.7,6.8,21.8,30.6,132.8,19.3,21,237.4,40.5,392,1370,1386,1491,48,14,338,147,36,484,147,36,484,1343,3027,851,
