Season,PlayerID,QB,RB,FB,WR,TE,G,T,C,P,K,DT,DE,LB,CB,SS,FS,Type
1985,1809,0,82,51,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1809,1,82,51,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1809,1,85,44,1,1,1,1,1,1,1,1,1,1,1,1,1,
1985,1810,0,0,0,0,0,0,0,0,0,0,0,47,92,0,42,0,
1985,1810,1,1,1,1,1,1,1,1,1,1,1,46,92,1,42,1,Training Camp
1985,1810,1,1,1,1,1,1,1,1,1,1,1,41,98,1,30,1,
1985,1811,0,0,0,0,0,0,0,0,0,0,0,0,0,83,67,92,
1985,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,83,67,92,Training Camp
1985,1811,1,1,1,1,1,1,1,1,1,1,1,1,1,76,58,100,
1985,1812,0,47,71,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1812,1,47,71,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1812,1,34,76,1,1,1,1,1,1,1,1,1,1,1,1,1,
1985,1813,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1813,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1813,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1985,1814,0,81,69,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1814,1,81,69,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1814,1,85,67,1,1,1,1,1,1,1,1,1,1,1,1,1,
1985,1815,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1815,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1815,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1985,1816,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1816,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1816,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1985,1817,0,0,0,0,0,0,0,0,0,0,0,41,99,0,65,0,
1985,1817,1,1,1,1,1,1,1,1,1,1,1,41,99,1,65,1,Training Camp
1985,1817,1,1,1,1,1,1,1,1,1,1,1,32,100,1,58,1,
1985,1818,0,0,0,0,0,0,0,0,0,0,43,86,23,0,0,0,
1985,1818,1,1,1,1,1,1,1,1,1,1,43,86,23,1,1,1,Training Camp
1985,1818,1,1,1,1,1,1,1,1,1,1,34,95,15,1,1,1,
1985,1819,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1819,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1819,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1985,1820,0,0,0,0,0,95,59,44,0,0,0,0,0,0,0,0,
1985,1820,1,1,1,1,1,95,59,44,1,1,1,1,1,1,1,1,Training Camp
1985,1820,1,1,1,1,1,100,51,31,1,1,1,1,1,1,1,1,
1985,1821,0,0,0,0,0,0,0,0,0,0,93,38,0,0,0,0,
1985,1821,1,1,1,1,1,1,1,1,1,1,93,38,1,1,1,1,Training Camp
1985,1821,1,1,1,1,1,1,1,1,1,1,96,31,1,1,1,1,
1985,1822,0,0,0,99,40,0,0,0,0,0,0,0,0,0,0,0,
1985,1822,1,1,1,99,40,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1822,1,1,1,100,23,1,1,1,1,1,1,1,1,1,1,1,
1985,1823,0,96,94,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1823,1,96,93,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1823,1,100,89,1,1,1,1,1,1,1,1,1,1,1,1,1,
1985,1824,0,83,33,0,0,0,0,0,0,0,0,0,0,0,0,0,
1985,1824,1,83,32,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1824,1,89,24,1,1,1,1,1,1,1,1,1,1,1,1,1,
1985,1825,0,0,0,0,0,0,0,0,0,0,0,0,29,0,95,30,
1985,1825,1,1,1,1,1,1,1,1,1,1,1,1,29,1,95,30,Training Camp
1985,1825,1,1,1,1,1,1,1,1,1,1,1,1,24,1,100,21,
1985,1826,0,0,0,64,48,0,0,0,0,0,0,0,0,0,0,0,
1985,1826,1,1,1,64,48,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1826,1,1,1,77,40,1,1,1,1,1,1,1,1,1,1,1,
1985,1827,0,0,0,93,58,0,0,0,0,0,0,0,0,0,0,0,
1985,1827,1,1,1,93,57,1,1,1,1,1,1,1,1,1,1,1,Training Camp
1985,1827,1,1,1,98,40,1,1,1,1,1,1,1,1,1,1,1,
1985,1828,0,0,0,0,0,62,85,38,0,0,0,0,0,0,0,0,
1985,1828,1,1,1,1,1,61,85,38,1,1,1,1,1,1,1,1,Training Camp
1985,1828,1,1,1,1,1,51,95,28,1,1,1,1,1,1,1,1,
1985,1829,0,0,0,0,0,0,0,0,0,0,0,0,47,0,82,69,
